short_name;productIdReite;productNameReite
Popcorn Mantequilla;DEV_gTh8NYBajBQUaz1CN52R;Puri Popcorn Variedades 25gr
Popcorn Caramelo;DEV_gTh8NYBajBQUaz1CN52R;Puri Popcorn Variedades 25gr
Jugo Variedades 200cc;DEV_CNV_003;Jugo AMA Variedades 200cc
Gusanos Acidos ;DEV_ifWrUd86RukLVCYEPbgs;Gusanos Acidos 40 g
Jugo Piña Sin azúcar 200ml;DEV_CNV_004;Jugo Piña Sin azúcar 200ml
Atun Lomitos en aceite;DEV_vyrwilWb7IX7sKYrZUmO;Atún Lomitos Variedades 160 g
Atun Lomitos en agua;DEV_vyrwilWb7IX7sKYrZUmO;Atún Lomitos Variedades 160 g
Pomarola Italiana 200gr;DEV_FfTTfcHz0uEyWZfD158l;Salsa de Tomate Natural 200 Grs
Churu tuna & salmon;DEV_QMLKG3uSnGCIud2KRKDh;Churu Tuna with Salmon Recipe
Coca Normal 1.5lt;DEV_CNV_006;Coca-Cola Original 1.5lt
Sprite Zero 1.5lt;DEV_CNV_053;Sprite Zero 1.5lt
Coca Zero 350ml;DEV_CNV_008;Coca-Cola Zero 350ml
Coca Zero 1.5 lt;DEV_CNV_007;Coca-Cola Zero 1.5 lt
Fanta zero 1.5lt;DEV_CNV_013;Fanta 1.5lt
Protein+ pouch frutilla platano;DEV_dptdUIpWKBvkn5bKoSTK;Protein Plus Pouch 150gr
Protein+ pouch vainilla;DEV_dptdUIpWKBvkn5bKoSTK;Protein Plus Pouch 150gr
Protein+ pouch frutilla;DEV_dptdUIpWKBvkn5bKoSTK;Protein Plus Pouch 150gr
Quesillo 320g;DEV_CNV_043;Quesillo 320gr
Mantequilla con Sal 250gr;DEV_CNV_027;Mantequilla con Sal 250gr
Rolls Crocante 150gr;DEV_CNV_050;Chocolate Rolls Crocante 150gr
Crackelet tripack 255gr;DEV_CNV_010;Crackelet tripack 255gr
Barra Low Carb;DEV_YmNGqFEBgU6jfYPMJ4Nt;Barra Low Carb
Ramitas Queso 250gr;DEV_CNV_046;Ramitas Queso 250gr
Gusanos Ácidos 90gr;DEV_CNV_014;Gusanos Ácidos 90gr
Gusanos ácidos pequño;DEV_ifWrUd86RukLVCYEPbgs;Gusanos Acidos 40 g
Pan Molde Multigrano;DEV_CNV_038;Pan Molde Multigrano
