ean;sap;sku;short_name;long_name;content_detail;measure_unit;brand;first_category;proxy_duration;pack;aisle;generated ean;autoshoppable_available;critical_quantity_threshold
76150202199;271954;2952;Popcorn Mantequilla;CABRITAS ACT II LIGHT MANTEQUILLA 85 G;85;gr.;ACT11;COCKTAIL;Media;false;Sin pasillo;false;true;5
76150230383;1408741;66;Popcorn Caramelo;CABRITAS ACT II CARAMELO 161 G;161;gr.;ACT11;COCKTAIL;Media;false;Sin pasillo;false;true;5
7804515004934;1724563;57422;MIx goji & friends;MEZCLA GOJI 100GR;0,1;un.;ALTO LA CRUZ;FRUTAS Y VERDURAS;No Perecible;false;Snack Salado;false;true;5
7804658020396;1739913;55705;Jugo Variedades 200cc;JUGO AMA MANZANA DURAZNO ORGÁNICO 200CC;200;ml.;AMA;BOTILLERÍA/GASEOSAS;No Perecible;false;Bebidas;false;true;5
7702174083669;1940039;118742;Gusanos Acidos ;GUSANOS ACIDOS 30 X 90 GR;90;gr.;COSTA;GALLETAS Y GOLOSINAS;No Perecible;false;Dulce;false;true;5
7802200361089;1612565;16191;Gelatina Frutilla;GELATINA EN POLVO AMBROSOLI NARANJA 100G;100;gr.;AMBROSOLI;ALMACEN;No Perecible;false;Sin pasillo;false;true;5
7802200361119;1612568;16192;Gelatina Naranja;GELATINA EN POLVO AMBROSOLI FRUTILLA100G;100;gr.;AMBROSOLI;ALMACEN;No Perecible;false;Sin pasillo;false;true;5
7802820700299;452692;43942;Jugo Piña Sin azúcar 200ml;NECTAR ANDINA FRUT PIÑA 200CC;200;ml.;ANDINA;BOTILLERÍA/GASEOSAS;No Perecible;false;Bebidas;false;true;5
7801268002033;1841853;93043;Atun Lomitos en aceite;ATUN LOMITOS ACEITE ANGELMO 104 GR DR;104;gr.;ANGELMO;ALMACEN;Corta;false;Conservas;false;true;5
7801268002040;1841854;93044;Atun Lomitos en agua;ATUN LOMITOS AGUA ANGELMO 104GR DR;104;gr.;ANGELMO;ALMACEN;Corta;false;Conservas;false;true;5
7891991013512;1690675;63139;Guaraná Zero;BEBIDA GUARANA ZERO LATA 350CC;350;ml.;GUARANA ANTARTICA;BOTILLERÍA/GASEOSAS;No Perecible;false;Bebidas;false;true;5
7804627650258;1227188;31524;Hummus;PASTA HUMMUS 220 GR;220;gr.;BUKA;COCKTAIL;Corta;false;Sin pasillo;false;true;5
7802575353047;590994;3394;Pomarola Italiana 200gr;SALSA POMAROLA SACHET  ITALIANA 200 GR.;200;gr.;POMAROLA;ALMACEN;Media;false;Salsas;false;true;5
855958006662;1832240;88596;Churu tuna & salmon;SNACK GATO CHURU ATUN Y SALMON 56G;56;gr.;INABA;MASCOTAS;Media;false;Mascotas;false;true;5
7801610001622;263216;391;Coca-Cola Original 1.5lt;BEBIDA COCA COLA PET 1.5 LT;1500;ml.;COCA COLA;BOTILLERÍA/GASEOSAS;No Perecible;false;Bebidas;false;true;5
7801610223727;434559;532;Sprite Zero 1.5lt;BEBIDA SPRITE ZERO PET 1.5LT;1500;ml.;SPRITE;BOTILLERÍA/GASEOSAS;No Perecible;false;Bebidas;false;true;5
7801610350355;713795;43762;Coca-Cola Zero 350ml;BEBIDA COCA COLA SIN AZUCAR LATA 350CC;350;ml.;COCA COLA ZERO;BOTILLERÍA/GASEOSAS;No Perecible;false;Bebidas;false;true;5
7801610350409;713789;500;Coca-Cola Zero 1.5 lt;BEBIDA COCA COLA SIN AZUCAR PET 1.5LT;1500;ml.;COCA COLA ZERO;BOTILLERÍA/GASEOSAS;No Perecible;false;Bebidas;false;true;5
7801610671030;1095035;510;Fanta zero 1.5lt;FANTA ZERO CON VIT DES 1.5 LT;1500;ml.;FANTA;BOTILLERÍA/GASEOSAS;No Perecible;false;Bebidas;false;true;5
7802920009384;1829954003;84612;Protein+ pouch frutilla platano;YOG PROTEIN PLUS SQUEEZE 150G, FRUT-PLAT;150;gr.;COLUN;LACTEOS;Corta;false;Yogurt;false;true;5
7802920009391;1829954002;84611;Protein+ pouch vainilla;YOG PROTEIN PLUS SQUEEZE 150G, VAINILLA;150;gr.;COLUN;LACTEOS;Corta;false;Yogurt;false;true;5
7802920009407;1829954001;84610;Protein+ pouch frutilla;YOG PROTEIN PLUS SQUEEZE 150G, FRUTILLA;150;gr.;COLUN;LACTEOS;Corta;false;Yogurt;false;true;5
7802920000749;394383;10749;Quesillo 320g;QUESILLO COLUN POTE 320GR;320;gr.;COLUN;QUESERÍA;Media;false;Lácteos;false;true;5
7802920008110;1727825;45790;Colun Capuchino;LECHE COLUN CAPUCCINO PRISMA 330ML;330;ml.;COLUN;LACTEOS;Media;false;Leches;false;true;5
7802920008141;1727827;45791;Light Café Cappuccino;LECHE COLUN LIGHT CAPUCCINO PRISMA 330ML;330;ml.;COLUN;LACTEOS;Media;false;Leches;false;true;5
7802920203300;302949;6870;Mantequilla con Sal 250gr;MANTEQUILLA COLUN C/SAL PAN 250 GR;250;gr.;COLUN;LACTEOS;Media;false;Lácteos;false;true;5
7802215121258;1083962;3642;Chocolate Rolls Crocante 150gr;CHOCOLATE COSTA ROLLS CROCANTE 150 GR;150;gr.;COSTA;GALLETAS Y GOLOSINAS;No Perecible;false;Dulce;false;true;5
7802215615085;1617342;2611;Crackelet tripack 255gr;GALL COSTA CRACKELET TRIPACK 255 GRS;255;gr.;COSTA;GALLETAS Y GOLOSINAS;No Perecible;3;Salado;false;true;5
7804000003145;No Encontado;No Encontrado;Barra Low Carb;No Encontrado;No Encontrado;No Encontrado;No Encontrado;No Encontrado;No Perecible;false;Sin pasillo;false;true;5
7802420510113;889209;3583;Palmitos enteros;PALMITOS ENTEROS ESMERALDA 220 GR DR;220;gr.;ESMERALDA;ALMACEN;Corta;false;Conservas;false;true;5
7802000014116;1841892;No Encontrado;Ramitas original 250g;*RAMITAS EVERCRISP SAL 250 GR;250;gr.;EVERCRISP;COCKTAIL;No Perecible;false;Salado;false;true;5
