id;ean;short_name;long_name;content_detail;measure_unit;brand;first_category;second_category;proxy_duration;is_pack;primary_image;aisle
1;76150202199;Popcorn Mantequilla;CABRITAS ACT II LIGHT MANTEQUILLA 85 G;85;g.;ACT11;COCKTAIL;SNACKS;Media;false;;Salado
2;76150230383;Popcorn Caramelo;CABRITAS ACT II CARAMELO 161 G;161;g.;ACT11;COCKTAIL;SNACKS;Media;false;;Salado
3;7804515004934;MIx goji & friends;MEZCLA GOJI 100GR;0,1;un.;ALTO LA CRUZ;FRUTAS Y VERDURAS;FRUTAS SECAS/DESH;No Perecible;false;;Frutas
4;7804658020396;Jugo Variedades 200cc;JUGO AMA MANZANA DURAZNO ORGÁNICO 200CC;200;ml.;AMA;BOTILLERÍA/GASEOSAS;NECTAR Y JUGOS LIQ;No Perecible;false;;Bebidas
5;7702174083669;Gusanos Acidos ;GUSANOS ACIDOS 30 X 90 GR;90;g.;COSTA;GALLETAS Y GOLOSINAS;GOLOSINAS;No Perecible;false;;Dulces
6;7802200361089;Gelatina Frutilla;GELATINA EN POLVO AMBROSOLI NARANJA 100G;100;g.;AMBROSOLI;ALMACEN;POSTRES;No Perecible;false;;Dulces
7;7802200361119;Gelatina Naranja;GELATINA EN POLVO AMBROSOLI FRUTILLA100G;100;g.;AMBROSOLI;ALMACEN;POSTRES;No Perecible;false;;Dulces
8;7802820700299;Jugo Piña Sin azúcar 200ml;NECTAR ANDINA FRUT PIÑA 200CC;200;ml.;ANDINA;BOTILLERÍA/GASEOSAS;NECTAR Y JUGOS LIQ;No Perecible;false;;Bebidas
9;7801268002033;Atun Lomitos en aceite;ATUN LOMITOS ACEITE ANGELMO 104 GR DR;104;g.;ANGELMO;ALMACEN;CONSERVAS MAR/OTRO;Corta;false;;Salado
10;7801268002040;Atun Lomitos en agua;ATUN LOMITOS AGUA ANGELMO 104GR DR;104;g.;ANGELMO;ALMACEN;CONSERVAS MAR/OTRO;Corta;false;;Salado
11;7891991013512;Guaraná Zero;BEBIDA GUARANA ZERO LATA 350CC;350;ml.;GUARANA ANTARTICA;BOTILLERÍA/GASEOSAS;BEBIDAS GASEOSAS;No Perecible;false;;Bebidas
12;7804627650258;Hummus;PASTA HUMMUS 220 GR;220;g.;BUKA;COCKTAIL;SALSAS Y ADEREZOS;Corta;false;;Salado
13;7802575353047;Pomarola Italiana 200gr;SALSA POMAROLA SACHET  ITALIANA 200 GR.;200;g.;POMAROLA;ALMACEN;LINEA ROJA;Media;false;;Salado
14;855958006662;Churu tuna & salmon;SNACK GATO CHURU ATUN Y SALMON 56G;56;g.;INABA;MASCOTAS;ALIMENTOS GATOS;Media;false;;Salado
15;7801610001622;Coca Normal 1.5lt;BEBIDA COCA COLA PET 1.5 LT;1500;ml.;COCA COLA;BOTILLERÍA/GASEOSAS;BEBIDAS GASEOSAS;No Perecible;false;;Bebidas
16;7801610223727;Sprite Zero 1.5lt;BEBIDA SPRITE ZERO PET 1.5LT;1500;ml.;SPRITE;BOTILLERÍA/GASEOSAS;BEBIDAS GASEOSAS;No Perecible;false;;Bebidas
17;7801610350355;Coca Zero 350ml;BEBIDA COCA COLA SIN AZUCAR LATA 350CC;350;ml.;COCA COLA ZERO;BOTILLERÍA/GASEOSAS;BEBIDAS GASEOSAS;No Perecible;false;;Bebidas
18;7801610350409;Coca Zero 1.5 lt;BEBIDA COCA COLA SIN AZUCAR PET 1.5LT;1500;ml.;COCA COLA ZERO;BOTILLERÍA/GASEOSAS;BEBIDAS GASEOSAS;No Perecible;false;;Bebidas
19;7801610671030;Fanta zero 1.5lt;FANTA ZERO CON VIT DES 1.5 LT;1500;ml.;FANTA;BOTILLERÍA/GASEOSAS;BEBIDAS GASEOSAS;No Perecible;false;;Bebidas
20;7802920009384;Protein+ pouch frutilla platano;YOG PROTEIN PLUS SQUEEZE 150G, FRUT-PLAT;150;g.;COLUN;LACTEOS;YOGHURT Y POSTRES;Corta;false;;Lacteos
21;7802920009391;Protein+ pouch vainilla;YOG PROTEIN PLUS SQUEEZE 150G, VAINILLA;150;g.;COLUN;LACTEOS;YOGHURT Y POSTRES;Corta;false;;Lacteos
22;7802920009407;Protein+ pouch frutilla;YOG PROTEIN PLUS SQUEEZE 150G, FRUTILLA;150;g.;COLUN;LACTEOS;YOGHURT Y POSTRES;Corta;false;;Lacteos
23;7802920000749;Quesillo 320g;QUESILLO COLUN POTE 320GR;320;g.;COLUN;QUESERÍA;QUESERIA ENV;Media;false;;Lacteos
24;7802920008110;Café Cappuccino;LECHE COLUN CAPUCCINO PRISMA 330ML;330;ml.;COLUN;LACTEOS;LECHES UHT;Media;false;;Bebidas
25;7802920008141;Light Café Cappuccino;LECHE COLUN LIGHT CAPUCCINO PRISMA 330ML;330;ml.;COLUN;LACTEOS;LECHES UHT;Media;false;;Bebidas
26;7802920203300;Mantequilla con Sal 250gr;MANTEQUILLA COLUN C/SAL PAN 250 GR;250;g.;COLUN;LACTEOS;MANTEQUILLA;Media;false;;Salado
27;7802215121258;Rolls Crocante 150gr;CHOCOLATE COSTA ROLLS CROCANTE 150 GR;150;g.;COSTA;GALLETAS Y GOLOSINAS;CHOCOLATES;No Perecible;false;;Dulces
28;7802215615085;Crackelet tripack 255gr;GALL COSTA CRACKELET TRIPACK 255 GRS;255;g.;COSTA;GALLETAS Y GOLOSINAS;GALLETAS SALADAS;No Perecible;true;;Salado
29;7804000003145;Barra Low Carb;BARRA LOW CARB CHOCOLATE EN LINEA (UN.);35;g.;EN LINEA;ALMACEN;CEREALES;No Perecible;false;;Dulces
30;7802420510113;Palmitos enteros;PALMITOS ENTEROS ESMERALDA 220 GR DR;220;g.;ESMERALDA;ALMACEN;CONSERVAS FF/VV;Corta;false;;Salado
31;7802000014116;Ramitas original 250g;*RAMITAS EVERCRISP SAL 250 GR;250;g.;EVERCRISP;COCKTAIL;SNACKS;No Perecible;false;;Salado
32;7802000014123;Ramitas Queso 250gr;*RAMITAS EVERCRISP QUESO 250 GR;250;g.;EVERCRISP;COCKTAIL;SNACKS;No Perecible;false;;Salado
33;7802000015168;De Todito Queso 120g;DETODITO II EVERCRISP 120 G;120;g.;EVERCRISP;COCKTAIL;SNACKS;No Perecible;false;;Salado
34;7802000016448;De Todito Original 120g;DETODITO I EVERCRISP 120GR;120;g.;EVERCRISP;COCKTAIL;SNACKS;No Perecible;false;;Salado
35;7898591453274;Gusanos Ácidos 90gr;GOMITAS GUSANOS ACIDOS FINI 90 GR;90;g.;FINI;GALLETAS Y GOLOSINAS;GOLOSINAS;No Perecible;false;;Dulces
36;7908228801726;Tubos dulces acidos;REGALIZ POCKET FRUTILLA ACIDA FINI 30G;30;g.;FINI;GALLETAS Y GOLOSINAS;CHECK OUT;No Perecible;false;;Dulces
37;7908228801764;Gusanos ácidos pequño;GOMITAS POCKET GUSANOS ACIDOS FINI 40G;40;g.;FINI;GALLETAS Y GOLOSINAS;CHECK OUT;No Perecible;false;;Dulces
38;7803480001078;Pan Molde Multigrano;PAN MOLDE MULTIGRANO FUCHS 380G;380;g.;FUCHS;PANIFICADOS;PANADERIA ENV.;Corta;false;;Salado
39;7804097011016;Ensalada Toscana 300gr;ENS TOSCANA 300 GR GENIAL;300;g.;GENIAL;FRUTAS Y VERDURAS;PRODUCTOS LISTOS;Corta;false;;Frutas
40;632432333304;Yerba Mate Orgánico Cranberry 355ml;GUAYAKI YERBA MATE ORGANICO CRANBER355CC;355;ml.;GUAYAKI;BOTILLERÍA/GASEOSAS;NECTAR Y JUGOS LIQ;No Perecible;false;;Frutas
41;7803200804132;Mayonesa Regular Doypack 372gr.;MAYONESA HELLMANN'S 372 GR;372;g.;HELLMANN`S;COCKTAIL;SALSAS Y ADEREZOS;Media;false;;Salado
42;7801610230510;Inca Kola 1,5lt;BEBIDA INCA KOLA ZERO 1.5 LT;1500;ml.;INCA KOLA;BOTILLERÍA/GASEOSAS;BEBIDAS GASEOSAS;No Perecible;false;;Bebidas
43;7801610277829;Inca Kola 350ml;BEBIDA INCA KOLA LATA 350CC;350;ml.;INCA KOLA;BOTILLERÍA/GASEOSAS;BEBIDAS GASEOSAS;No Perecible;false;;Bebidas
44;7750526000178;Platano ducle frio ;PLATANO FRITO INKA CHIPS DULCE 100G;100;g.;JUMBO IMPO;COCKTAIL;SNACKS;No Perecible;false;;Dulces
45;7750526000017;Inka Corn Original;MAIZ GIGANTE INKA CORN ORIGINAL 100G;100;g.;JUMBO IMPO;COCKTAIL;FRUTOS SECOS;No Perecible;false;;Bebidas
46;7750526000031;Inka Corn Chile Picante;MAIZ GIGANTE INKA CORN PICANTE 100G;100;g.;JUMBO IMPO;COCKTAIL;FRUTOS SECOS;No Perecible;false;;Bebidas
47;7802640600397;Ketchup Doypack 500 gr;KETCHUP J.B. DOY-PACK 500 GR.;500;g.;JB;COCKTAIL;SALSAS Y ADEREZOS;No Perecible;false;;Salado
48;2498832019907;Yogur Granola Mango/Frambuesa;YOGURT + GRANOLA JUMBO MANGO FRAMB UN;1;un.;JUMBO E.P.;ROTISERÍA / PLATOS PREPARADOS;PLATOS PREPARADOS;Corta;false;;Lacteos
49;7801620852580;Kem Piña 350ml;BEBIDA KEM PIÑA LATA 350CC;350;ml.;KEM;BOTILLERÍA/GASEOSAS;BEBIDAS GASEOSAS;No Perecible;false;;Bebidas
50;7804674980032;Guaraná Blended;KIWAY ENERGY;250;ml.;KIWAY;BOTILLERÍA/GASEOSAS;OTRAS BEBIDAS;No Perecible;false;;Bebidas
